episode,reward,total_burned,epsilon,steps,q_table_size
389,-426.0,480,0.1423,27,1093
390,-433.0,489,0.1416,23,1093
391,-296.0,366,0.1409,39,1099
392,-420.0,480,0.1402,41,1107
393,-22.0,38,0.1395,9,1108
394,-325.0,395,0.1388,32,1114
395,5.0,3,0.1381,2,1114
396,-330.0,406,0.1374,31,1116
397,-358.0,422,0.1367,28,1116
398,-289.0,351,0.136,21,1118
399,-318.0,374,0.1353,23,1118
400,2.0,2,0.1347,2,1118
401,1.0,9,0.134,5,1118
402,4.0,6,0.1333,4,1118
403,-451.0,505,0.1326,26,1119
404,-371.0,425,0.132,31,1121
405,-388.0,442,0.1313,34,1127
406,-357.0,413,0.1307,27,1127
407,-351.0,407,0.13,27,1129
408,-83.0,125,0.1294,17,1130
409,3.0,1,0.1287,2,1130
410,-381.0,421,0.1281,31,1136
411,-392.0,450,0.1274,26,1136
412,-231.0,283,0.1268,29,1147
413,5.0,5,0.1262,3,1147
414,-443.0,501,0.1255,25,1147
415,3.0,1,0.1249,2,1147
416,-409.0,461,0.1243,25,1147
417,-388.0,446,0.1237,37,1155
418,-322.0,374,0.123,26,1155
419,-361.0,411,0.1224,22,1155
420,2.0,4,0.1218,3,1155
421,-298.0,362,0.1212,33,1159
422,-1.0,9,0.1206,3,1159
423,-361.0,415,0.12,23,1160
424,-395.0,437,0.1194,21,1160
425,-343.0,405,0.1188,26,1165
426,4.0,2,0.1182,2,1165
427,-390.0,448,0.1176,24,1165
428,-216.0,258,0.117,19,1165
429,-248.0,292,0.1164,29,1177
430,2.0,8,0.1159,6,1177
431,3.0,1,0.1153,2,1177
432,-409.0,477,0.1147,26,1177
433,-199.0,245,0.1141,20,1180
434,3.0,1,0.1136,2,1180
435,-40.0,62,0.113,12,1180
436,-273.0,333,0.1124,33,1187
437,4.0,4,0.1119,3,1187
438,-262.0,322,0.1113,29,1190
439,-344.0,402,0.1107,28,1192
440,2.0,4,0.1102,3,1192
441,-16.0,44,0.1096,11,1193
442,-411.0,473,0.1091,29,1194
443,-241.0,287,0.1085,19,1195
444,-454.0,514,0.108,23,1195
445,-351.0,407,0.1075,21,1196
446,3.0,1,0.1069,2,1196
447,-307.0,363,0.1064,30,1200
448,-403.0,463,0.1059,25,1200
449,-350.0,404,0.1053,24,1202
450,-313.0,363,0.1048,28,1207
451,-341.0,407,0.1043,27,1209
452,1.0,1,0.1038,1,1209
453,-405.0,465,0.1032,27,1210
454,-444.0,494,0.1027,22,1212
455,-397.0,451,0.1022,24,1212
456,-356.0,418,0.1017,26,1214
457,-397.0,455,0.1012,28,1214
458,-369.0,425,0.1007,26,1214
459,0.0,4,0.1002,2,1214
460,2.0,2,0.0997,2,1214
461,-308.0,374,0.0992,26,1214
462,5.0,7,0.0987,4,1214
463,4.0,0,0.0982,1,1214
464,4.0,0,0.0977,1,1214
465,3.0,1,0.0972,2,1214
466,-117.0,151,0.0967,21,1214
467,-435.0,495,0.0962,26,1214
468,-347.0,403,0.0958,24,1214
469,3.0,1,0.0953,2,1214
470,-267.0,295,0.0948,23,1215
471,3.0,1,0.0943,2,1215
472,3.0,5,0.0939,4,1215
473,3.0,1,0.0934,2,1215
474,4.0,2,0.0929,2,1215
475,-345.0,397,0.0925,22,1216
476,-261.0,331,0.092,32,1221
477,4.0,2,0.0915,2,1221
478,-332.0,400,0.0911,25,1222
479,-466.0,528,0.0906,25,1223
480,-1.0,13,0.0902,5,1223
481,-1.0,13,0.0897,6,1223
482,-417.0,469,0.0893,23,1224
483,-325.0,369,0.0888,18,1227
484,3.0,1,0.0884,2,1227
485,-351.0,399,0.0879,20,1229
486,1.0,1,0.0875,1,1229
487,-364.0,414,0.0871,22,1229
488,-278.0,342,0.0866,30,1232
489,3.0,1,0.0862,2,1232
490,3.0,3,0.0858,3,1232
491,4.0,6,0.0853,3,1232
492,1.0,1,0.0849,1,1232
493,3.0,7,0.0845,5,1232
494,-345.0,399,0.0841,31,1234
495,-374.0,428,0.0836,37,1236
496,4.0,2,0.0832,2,1236
497,3.0,1,0.0828,2,1236
498,-267.0,325,0.0824,33,1241
499,-316.0,360,0.082,21,1244
500,1.0,3,0.0816,2,1244
501,-438.0,488,0.0812,23,1245
502,-319.0,381,0.0808,23,1246
503,-292.0,356,0.0804,31,1249
504,4.0,2,0.08,2,1249
505,-267.0,307,0.0796,22,1253
506,-464.0,522,0.0792,23,1255
507,-417.0,469,0.0788,21,1255
508,-342.0,400,0.0784,22,1256
509,-377.0,443,0.078,27,1256
510,-364.0,416,0.0776,23,1256
511,-358.0,406,0.0772,23,1258
512,-366.0,420,0.0768,22,1259
513,-220.0,252,0.0764,25,1262
514,3.0,1,0.076,2,1262
515,-448.0,506,0.0757,34,1263
516,-369.0,433,0.0753,24,1263
517,-1.0,19,0.0749,8,1263
518,2.0,2,0.0745,2,1263
519,-356.0,402,0.0742,26,1267
520,-252.0,310,0.0738,22,1268
521,-50.0,74,0.0734,11,1268
522,-446.0,506,0.0731,26,1268
523,4.0,0,0.0727,1,1268
